data,hora,latitude,longitude,velocidade,altitude,satelites,xg,yg,zg,x,y,z
1692015,21150,-7.14089,-34.85075,0.26,55.10,9,-0.21,-0.04,0.92,30,-4,22
1692015,21150,-7.14089,-34.85075,0.26,55.10,9,-0.21,-0.04,0.93,27,-6,22
1692015,21150,-7.14089,-34.85075,0.26,55.10,9,-0.21,-0.04,0.92,31,-7,20
1692015,21150,-7.14089,-34.85075,0.11,55.10,9,-0.22,-0.04,0.93,23,-6,16
1692015,21150,-7.14089,-34.85075,0.11,55.10,9,-0.20,-0.05,0.92,25,-6,22
1692015,21150,-7.14089,-34.85075,0.11,55.10,9,-0.20,-0.05,0.92,28,-4,18
1692015,21150,-7.14089,-34.85075,0.11,55.10,9,-0.22,-0.04,0.92,30,-5,18
1692015,21151,-7.14089,-34.85075,0.11,55.10,9,-0.22,-0.04,0.92,27,-4,22
1692015,21151,-7.14089,-34.85075,0.11,55.10,9,-0.21,-0.04,0.92,25,-6,20
1692015,21151,-7.14089,-34.85075,0.11,55.10,9,-0.20,-0.04,0.92,28,-10,18
1692015,21151,-7.14089,-34.85075,0.11,55.10,9,-0.22,-0.04,0.93,30,-6,21
1692015,21151,-7.14089,-34.85075,0.24,55.10,9,-0.22,-0.03,0.92,28,-7,20
1692015,21151,-7.14089,-34.85075,0.24,55.10,9,-0.21,-0.04,0.92,32,-5,22
1692015,21151,-7.14089,-34.85075,0.24,55.10,9,-0.21,-0.04,0.93,29,-9,19
1692015,21151,-7.14089,-34.85075,0.24,55.10,9,-0.21,-0.04,0.90,27,-6,20
1692015,21152,-7.14089,-34.85075,0.24,55.10,9,-0.22,-0.04,0.91,26,-6,14
1692015,21152,-7.14089,-34.85075,0.24,55.10,9,-0.21,-0.04,0.92,27,-1,21
1692015,21152,-7.14089,-34.85075,0.24,55.10,9,-0.21,-0.04,0.92,30,-7,21
1692015,21152,-7.14089,-34.85075,0.24,55.10,9,-0.21,-0.04,0.91,28,-3,18
1692015,21152,-7.14089,-34.85075,0.22,55.10,9,-0.21,-0.04,0.92,27,-6,19
1692015,21152,-7.14089,-34.85075,0.22,55.10,9,-0.21,-0.04,0.92,34,-6,20
1692015,21152,-7.14089,-34.85075,0.22,55.20,9,-0.21,-0.04,0.92,28,-5,19
1692015,21152,-7.14089,-34.85075,0.22,55.20,9,-0.21,-0.04,0.92,29,-3,22
1692015,21153,-7.14089,-34.85075,0.22,55.20,9,-0.22,-0.04,0.92,30,-6,23
1692015,21153,-7.14089,-34.85075,0.22,55.20,9,-0.21,-0.03,0.91,29,-6,22
1692015,21153,-7.14089,-34.85075,0.22,55.20,9,-0.21,-0.04,0.92,30,-7,20
1692015,21153,-7.14089,-34.85075,0.22,55.20,9,-0.21,-0.04,0.91,28,-5,21
1692015,21153,-7.14089,-34.85075,0.17,55.20,9,-0.21,-0.04,0.92,30,-2,18
1692015,21153,-7.14089,-34.85075,0.17,55.20,9,-0.21,-0.04,0.93,28,-4,19
1692015,21153,-7.14089,-34.85075,0.17,55.20,9,-0.21,-0.03,0.93,27,-4,20
1692015,21153,-7.14089,-34.85075,0.17,55.20,9,-0.22,-0.04,0.92,30,-8,18
1692015,21154,-7.14089,-34.85075,0.17,55.20,9,-0.21,-0.03,0.91,29,-6,16
1692015,21154,-7.14089,-34.85075,0.17,55.20,9,-0.21,-0.04,0.92,27,-3,20
1692015,21154,-7.14089,-34.85075,0.17,55.20,9,-0.21,-0.04,0.92,25,-7,21
1692015,21154,-7.14089,-34.85075,0.17,55.20,9,-0.21,-0.04,0.91,28,-12,27
1692015,21154,-7.14089,-34.85075,0.11,55.20,9,-0.21,-0.04,0.92,22,-5,20
1692015,21154,-7.14089,-34.85075,0.11,55.20,9,-0.21,-0.04,0.93,29,-7,19
